timestamp,I_nA,V_uV,R_uOhm,chip_temp_C,note
2026-07-20 17:17:55,15000258,321468,21430808,-172.4152,
2026-07-20 17:17:56,15000334,321469,21430812,-172.4151,
2026-07-20 17:17:57,15000362,321469,21430766,-172.4154,
2026-07-20 17:17:58,15000448,321470,21430718,-172.4157,
2026-07-20 17:17:59,15000524,321471,21430648,-172.4161,
2026-07-20 17:18:00,14999730,321452,21430494,-172.4170,
2026-07-20 17:18:01,15000078,321459,21430478,-172.4171,
2026-07-20 17:18:02,14999304,321440,21430326,-172.4180,
2026-07-20 17:18:03,14999590,321446,21430352,-172.4179,
2026-07-20 17:18:04,14999554,321445,21430312,-172.4181,
2026-07-20 17:18:05,14999646,321448,21430358,-172.4179,
2026-07-20 17:18:06,14999800,321451,21430354,-172.4179,
2026-07-20 17:18:07,14999822,321451,21430302,-172.4182,
2026-07-20 17:18:08,14999866,321451,21430264,-172.4184,
2026-07-20 17:18:09,14999854,321451,21430264,-172.4184,
2026-07-20 17:18:10,14999872,321450,21430192,-172.4188,
2026-07-20 17:18:11,14999970,321452,21430188,-172.4189,
2026-07-20 17:18:12,15000014,321452,21430146,-172.4191,
2026-07-20 17:18:13,15000028,321452,21430090,-172.4195,
2026-07-20 17:18:14,15000086,321452,21430044,-172.4197,
2026-07-20 17:18:15,14999906,321447,21429946,-172.4203,
2026-07-20 17:18:16,15000004,321449,21429942,-172.4203,
2026-07-20 17:18:17,14999846,321446,21429920,-172.4205,
2026-07-20 17:18:18,14999576,321439,21429862,-172.4208,
2026-07-20 17:18:19,14999486,321435,21429764,-172.4214,
2026-07-20 17:18:20,14999568,321437,21429738,-172.4216,
2026-07-20 17:18:21,14999602,321437,21429678,-172.4219,
2026-07-20 17:18:22,14999796,321441,21429672,-172.4220,
2026-07-20 17:18:23,14999846,321442,21429662,-172.4220,
2026-07-20 17:18:24,14999914,321443,21429636,-172.4222,
2026-07-20 17:18:25,14999730,321438,21429600,-172.4224,
2026-07-20 17:18:26,14999872,321441,21429600,-172.4224,
2026-07-20 17:18:27,15000034,321445,21429642,-172.4221,
2026-07-20 17:18:28,14999942,321442,21429570,-172.4226,
2026-07-20 17:18:29,14999976,321442,21429530,-172.4228,
2026-07-20 17:18:30,14999926,321441,21429486,-172.4231,
2026-07-20 17:18:31,14999814,321437,21429418,-172.4235,
2026-07-20 17:18:32,14999610,321432,21429364,-172.4238,
2026-07-20 17:18:33,14999698,321433,21429326,-172.4240,
2026-07-20 17:18:34,14999560,321430,21429280,-172.4243,
2026-07-20 17:18:35,14999492,321428,21429260,-172.4244,
2026-07-20 17:18:36,14999498,321428,21429218,-172.4247,
2026-07-20 17:18:37,14999540,321428,21429204,-172.4248,
2026-07-20 17:18:38,14999534,321427,21429144,-172.4251,
2026-07-20 17:18:39,14999596,321428,21429126,-172.4252,
2026-07-20 17:18:40,14999576,321428,21429126,-172.4252,
2026-07-20 17:18:41,14999532,321426,21429058,-172.4257,
2026-07-20 17:18:42,14999622,321428,21429052,-172.4257,
2026-07-20 17:18:43,14999622,321427,21429034,-172.4258,
2026-07-20 17:18:44,14999652,321428,21429036,-172.4258,
2026-07-20 17:18:45,14999676,321429,21429058,-172.4257,
2026-07-20 17:18:46,14999916,321434,21429024,-172.4259,
2026-07-20 17:18:47,15000012,321435,21428992,-172.4260,
2026-07-20 17:18:48,15000084,321436,21428966,-172.4262,
2026-07-20 17:18:49,15000836,321453,21429026,-172.4258,
2026-07-20 17:18:50,15000412,321443,21428934,-172.4264,
2026-07-20 17:18:51,15000216,321438,21428892,-172.4266,
2026-07-20 17:18:52,15000088,321435,21428856,-172.4269,
2026-07-20 17:18:53,14999944,321431,21428794,-172.4272,
2026-07-20 17:18:54,14999884,321429,21428792,-172.4272,
2026-07-20 17:18:55,15000762,321450,21428896,-172.4266,
2026-07-20 17:18:56,15000562,321444,21428802,-172.4272,
2026-07-20 17:18:57,15000440,321441,21428754,-172.4275,
2026-07-20 17:18:58,15000274,321437,21428714,-172.4277,
2026-07-20 17:18:59,15000280,321437,21428700,-172.4278,
2026-07-20 17:19:00,15000230,321435,21428648,-172.4281,
2026-07-20 17:19:01,15000106,321431,21428586,-172.4285,
2026-07-20 17:19:02,15000082,321430,21428548,-172.4287,
2026-07-20 17:19:03,14999846,321424,21428468,-172.4292,
2026-07-20 17:19:04,14999802,321422,21428400,-172.4296,
2026-07-20 17:19:05,14999778,321421,21428376,-172.4297,
2026-07-20 17:19:06,14999870,321423,21428368,-172.4298,
2026-07-20 17:19:07,14999902,321423,21428344,-172.4299,
2026-07-20 17:19:08,14999908,321423,21428324,-172.4301,
2026-07-20 17:19:09,14999914,321422,21428260,-172.4304,
2026-07-20 17:19:10,15000058,321426,21428290,-172.4303,
2026-07-20 17:19:11,15000238,321429,21428266,-172.4304,
2026-07-20 17:19:12,15000264,321430,21428280,-172.4303,
2026-07-20 17:19:13,15000272,321429,21428222,-172.4307,
2026-07-20 17:19:14,15000324,321430,21428214,-172.4307,
2026-07-20 17:19:15,15000552,321435,21428200,-172.4308,
2026-07-20 17:19:16,15000618,321436,21428216,-172.4307,
2026-07-20 17:19:17,15000612,321436,21428168,-172.4310,
2026-07-20 17:19:18,15000526,321433,21428100,-172.4314,
2026-07-20 17:19:19,15000376,321429,21428084,-172.4315,
2026-07-20 17:19:20,15000244,321426,21428054,-172.4317,
2026-07-20 17:19:21,15000380,321429,21428060,-172.4316,
2026-07-20 17:19:22,15000284,321426,21427984,-172.4321,
2026-07-20 17:19:23,15000278,321425,21427916,-172.4325,
2026-07-20 17:19:24,15000220,321424,21427942,-172.4323,
2026-07-20 17:19:25,15000192,321423,21427918,-172.4325,
2026-07-20 17:19:26,15000378,321427,21427942,-172.4323,
2026-07-20 17:19:27,15000434,321428,21427930,-172.4324,
2026-07-20 17:19:28,15000344,321426,21427912,-172.4325,
2026-07-20 17:19:29,15000482,321429,21427904,-172.4326,
2026-07-20 17:19:30,15000594,321431,21427894,-172.4326,
2026-07-20 17:19:31,15000512,321429,21427868,-172.4328,
2026-07-20 17:19:32,15000514,321428,21427824,-172.4331,
2026-07-20 17:19:33,15000470,321426,21427758,-172.4335,
2026-07-20 17:19:34,15000510,321427,21427722,-172.4337,
2026-07-20 17:19:35,14999628,321405,21427544,-172.4347,
2026-07-20 17:19:36,14999806,321409,21427546,-172.4347,
2026-07-20 17:19:37,14999816,321409,21427524,-172.4349,
2026-07-20 17:19:38,14999714,321407,21427538,-172.4348,
2026-07-20 17:19:39,14999636,321404,21427446,-172.4353,
2026-07-20 17:19:40,14999672,321404,21427436,-172.4354,
2026-07-20 17:19:41,14999688,321405,21427452,-172.4353,
2026-07-20 17:19:42,14999516,321401,21427430,-172.4354,
2026-07-20 17:19:43,14999432,321398,21427376,-172.4357,
2026-07-20 17:19:44,14999378,321398,21427392,-172.4356,
2026-07-20 17:19:45,14999402,321398,21427402,-172.4356,
2026-07-20 17:19:46,14999524,321400,21427352,-172.4359,
2026-07-20 17:19:47,14999448,321398,21427314,-172.4361,
2026-07-20 17:19:48,14999354,321395,21427290,-172.4363,
2026-07-20 17:19:49,14999450,321397,21427282,-172.4363,
2026-07-20 17:19:50,14999522,321399,21427296,-172.4362,
2026-07-20 17:19:51,14999642,321402,21427282,-172.4363,
2026-07-20 17:19:52,14999646,321402,21427270,-172.4364,
2026-07-20 17:19:53,14999698,321402,21427228,-172.4366,
2026-07-20 17:19:54,14999746,321402,21427184,-172.4369,
2026-07-20 17:19:55,14999744,321403,21427200,-172.4368,
2026-07-20 17:19:56,14999752,321402,21427182,-172.4369,
2026-07-20 17:19:57,14999786,321402,21427136,-172.4372,
2026-07-20 17:19:58,14999758,321402,21427134,-172.4372,
2026-07-20 17:19:59,14999688,321399,21427066,-172.4376,
2026-07-20 17:20:00,14999756,321401,21427094,-172.4374,
2026-07-20 17:20:01,14999538,321396,21427054,-172.4377,
2026-07-20 17:20:02,14999588,321397,21427046,-172.4377,
2026-07-20 17:20:03,14999700,321400,21427120,-172.4373,
2026-07-20 17:20:04,14999720,321400,21427090,-172.4375,
2026-07-20 17:20:05,14999846,321403,21427108,-172.4374,
2026-07-20 17:20:06,14999970,321406,21427080,-172.4375,
2026-07-20 17:20:07,14999864,321403,21427050,-172.4377,
2026-07-20 17:20:08,14999862,321403,21427030,-172.4378,
2026-07-20 17:20:09,14999710,321398,21426932,-172.4384,
2026-07-20 17:20:10,14999802,321399,21426902,-172.4386,
2026-07-20 17:20:11,14999860,321401,21426926,-172.4384,
2026-07-20 17:20:12,14999830,321400,21426898,-172.4386,
2026-07-20 17:20:13,14999854,321400,21426842,-172.4389,
2026-07-20 17:20:14,15000022,321403,21426834,-172.4390,
2026-07-20 17:20:15,14999896,321400,21426812,-172.4391,
2026-07-20 17:20:16,14999902,321399,21426746,-172.4395,
2026-07-20 17:20:17,14999814,321397,21426734,-172.4396,
2026-07-20 17:20:18,14999824,321397,21426742,-172.4395,
2026-07-20 17:20:19,14999746,321396,21426752,-172.4395,
2026-07-20 17:20:20,14999680,321395,21426774,-172.4394,
2026-07-20 17:20:21,14999602,321392,21426718,-172.4397,
2026-07-20 17:20:22,14999748,321395,21426712,-172.4397,
2026-07-20 17:20:23,14999886,321398,21426730,-172.4396,
2026-07-20 17:20:24,14999952,321399,21426684,-172.4399,
2026-07-20 17:20:25,14999964,321399,21426646,-172.4401,
2026-07-20 17:20:26,14999834,321396,21426634,-172.4402,
2026-07-20 17:20:27,14999810,321395,21426600,-172.4404,
2026-07-20 17:20:28,15000632,321414,21426722,-172.4397,
2026-07-20 17:20:29,15000438,321409,21426634,-172.4402,
2026-07-20 17:20:30,15000318,321406,21426630,-172.4402,
2026-07-20 17:20:31,15000240,321404,21426622,-172.4403,
2026-07-20 17:20:32,15000292,321406,21426628,-172.4402,
2026-07-20 17:20:33,15000266,321404,21426584,-172.4405,
2026-07-20 17:20:34,15000340,321406,21426578,-172.4405,
2026-07-20 17:20:35,15000328,321405,21426558,-172.4407,
2026-07-20 17:20:36,15000246,321403,21426522,-172.4409,
2026-07-20 17:20:37,15000130,321400,21426462,-172.4412,
2026-07-20 17:20:38,15000106,321399,21426474,-172.4412,
2026-07-20 17:20:39,15000016,321397,21426430,-172.4414,
2026-07-20 17:20:40,15000824,321416,21426538,-172.4408,
2026-07-20 17:20:41,15000664,321412,21426548,-172.4407,
2026-07-20 17:20:42,15000414,321406,21426442,-172.4413,
2026-07-20 17:20:43,15000218,321400,21426356,-172.4419,
2026-07-20 17:20:44,15000100,321397,21426312,-172.4421,
2026-07-20 17:20:45,15000122,321397,21426286,-172.4423,
2026-07-20 17:20:46,15000128,321397,21426252,-172.4425,
2026-07-20 17:20:47,15000050,321394,21426198,-172.4428,
2026-07-20 17:20:48,15000216,321398,21426216,-172.4427,
2026-07-20 17:20:49,15000144,321396,21426170,-172.4430,
2026-07-20 17:20:50,15000126,321395,21426132,-172.4432,
2026-07-20 17:20:51,15000280,321398,21426164,-172.4430,
2026-07-20 17:20:52,15000230,321398,21426198,-172.4428,
2026-07-20 17:20:53,15000256,321398,21426150,-172.4431,
2026-07-20 17:20:54,15000090,321393,21426072,-172.4436,
2026-07-20 17:20:55,15000040,321393,21426116,-172.4433,
2026-07-20 17:20:56,14999982,321391,21426124,-172.4433,
2026-07-20 17:20:57,15000138,321394,21426088,-172.4435,
2026-07-20 17:20:58,14999982,321390,21426022,-172.4439,
2026-07-20 17:20:59,14999996,321390,21425986,-172.4441,
2026-07-20 17:21:00,15000034,321390,21425978,-172.4441,
2026-07-20 17:21:01,15000036,321390,21425932,-172.4444,
2026-07-20 17:21:02,14999980,321389,21425938,-172.4444,
2026-07-20 17:21:03,14999968,321389,21425950,-172.4443,
2026-07-20 17:21:04,15000022,321390,21425956,-172.4443,
2026-07-20 17:21:05,15000026,321390,21425986,-172.4441,
2026-07-20 17:21:06,15000104,321391,21425952,-172.4443,
2026-07-20 17:21:07,15000162,321393,21425954,-172.4443,
2026-07-20 17:21:08,15000158,321393,21425962,-172.4442,
2026-07-20 17:21:09,15000176,321393,21425944,-172.4443,
2026-07-20 17:21:10,15000160,321392,21425930,-172.4444,
2026-07-20 17:21:11,15000110,321390,21425872,-172.4448,
2026-07-20 17:21:12,15000140,321391,21425846,-172.4449,
2026-07-20 17:21:13,15000030,321388,21425832,-172.4450,
2026-07-20 17:21:14,15000060,321389,21425822,-172.4451,
2026-07-20 17:21:15,15000082,321389,21425834,-172.4450,
2026-07-20 17:21:16,15000100,321389,21425794,-172.4452,
2026-07-20 17:21:17,15000064,321388,21425800,-172.4452,
2026-07-20 17:21:18,15000162,321390,21425790,-172.4453,
2026-07-20 17:21:19,15000316,321393,21425752,-172.4455,
2026-07-20 17:21:20,15000480,321397,21425790,-172.4453,
2026-07-20 17:21:21,15000352,321393,21425678,-172.4459,
2026-07-20 17:21:22,15000282,321391,21425694,-172.4458,
2026-07-20 17:21:23,15000202,321389,21425626,-172.4462,
2026-07-20 17:21:24,15000104,321386,21425580,-172.4465,
2026-07-20 17:21:25,15000062,321385,21425582,-172.4465,
2026-07-20 17:21:26,15000140,321387,21425574,-172.4466,
2026-07-20 17:21:27,15000170,321386,21425518,-172.4469,
2026-07-20 17:21:28,15000268,321388,21425510,-172.4469,
2026-07-20 17:21:29,15000210,321388,21425540,-172.4468,
2026-07-20 17:21:30,15000242,321389,21425568,-172.4466,
2026-07-20 17:21:31,15000228,321388,21425560,-172.4466,
2026-07-20 17:21:32,15000208,321388,21425538,-172.4468,
2026-07-20 17:21:33,15000260,321389,21425538,-172.4468,
2026-07-20 17:21:34,15000316,321390,21425540,-172.4468,
2026-07-20 17:21:35,15000350,321390,21425506,-172.4470,
2026-07-20 17:21:36,15000354,321389,21425448,-172.4473,
2026-07-20 17:21:37,15000276,321387,21425434,-172.4474,
2026-07-20 17:21:38,15000198,321386,21425440,-172.4474,
2026-07-20 17:21:39,15000316,321389,21425472,-172.4472,
2026-07-20 17:21:40,15000488,321393,21425476,-172.4471,
2026-07-20 17:21:41,15000590,321394,21425416,-172.4475,
2026-07-20 17:21:42,14999688,321372,21425278,-172.4483,
2026-07-20 17:21:43,14999804,321374,21425238,-172.4486,
2026-07-20 17:21:44,14999686,321372,21425240,-172.4486,
2026-07-20 17:21:45,14999746,321373,21425238,-172.4486,
2026-07-20 17:21:46,14999800,321374,21425224,-172.4487,
2026-07-20 17:21:47,14999570,321369,21425182,-172.4489,
2026-07-20 17:21:48,14999660,321370,21425184,-172.4489,
2026-07-20 17:21:49,14999672,321370,21425146,-172.4491,
2026-07-20 17:21:50,14999698,321370,21425124,-172.4493,
2026-07-20 17:21:51,14999792,321372,21425108,-172.4494,
2026-07-20 17:21:52,14999946,321376,21425166,-172.4490,
2026-07-20 17:21:53,14999886,321375,21425164,-172.4490,
2026-07-20 17:21:54,14999878,321374,21425108,-172.4494,
2026-07-20 17:21:55,14999870,321375,21425168,-172.4490,
2026-07-20 17:21:56,15000118,321380,21425140,-172.4492,
2026-07-20 17:21:57,15000080,321379,21425138,-172.4492,
2026-07-20 17:21:58,15000068,321378,21425132,-172.4492,
2026-07-20 17:21:59,15000070,321378,21425126,-172.4492,
2026-07-20 17:22:00,15000164,321381,21425174,-172.4490,
2026-07-20 17:22:01,15000030,321379,21425196,-172.4488,
2026-07-20 17:22:02,15000014,321378,21425152,-172.4491,
2026-07-20 17:22:03,15000028,321378,21425150,-172.4491,
2026-07-20 17:22:04,15000134,321380,21425116,-172.4493,
2026-07-20 17:22:05,14999914,321374,21425086,-172.4495,
2026-07-20 17:22:06,14999936,321374,21425046,-172.4497,
2026-07-20 17:22:07,14999766,321370,21425004,-172.4500,
2026-07-20 17:22:08,14999730,321369,21424968,-172.4502,
2026-07-20 17:22:09,14999648,321367,21424962,-172.4502,
2026-07-20 17:22:10,14999532,321363,21424886,-172.4507,
2026-07-20 17:22:11,14999528,321363,21424880,-172.4507,
2026-07-20 17:22:12,14999516,321363,21424870,-172.4508,
2026-07-20 17:22:13,14999600,321365,21424878,-172.4507,
2026-07-20 17:22:14,14999672,321366,21424870,-172.4508,
2026-07-20 17:22:15,14999810,321370,21424906,-172.4506,
2026-07-20 17:22:16,14999820,321369,21424876,-172.4507,
2026-07-20 17:22:17,14999726,321367,21424870,-172.4508,
2026-07-20 17:22:18,14999702,321366,21424828,-172.4510,
2026-07-20 17:22:19,14999590,321364,21424822,-172.4511,
2026-07-20 17:22:20,14999608,321364,21424808,-172.4512,
2026-07-20 17:22:21,14999632,321364,21424796,-172.4512,
2026-07-20 17:22:22,14999650,321364,21424776,-172.4513,
2026-07-20 17:22:23,15000298,321380,21424892,-172.4506,
2026-07-20 17:22:24,15000056,321374,21424842,-172.4509,
2026-07-20 17:22:25,14999818,321367,21424756,-172.4515,
2026-07-20 17:22:26,14999956,321370,21424756,-172.4515,
2026-07-20 17:22:27,14999930,321369,21424722,-172.4517,
2026-07-20 17:22:28,14999984,321370,21424692,-172.4518,
2026-07-20 17:22:29,14999962,321370,21424692,-172.4518,
2026-07-20 17:22:30,15000018,321370,21424664,-172.4520,
2026-07-20 17:22:31,14999836,321367,21424674,-172.4520,
2026-07-20 17:22:32,14999700,321364,21424702,-172.4518,
2026-07-20 17:22:33,14999776,321366,21424698,-172.4518,
2026-07-20 17:22:34,14999842,321367,21424684,-172.4519,
2026-07-20 17:22:35,14999834,321366,21424662,-172.4520,
2026-07-20 17:22:36,14999830,321365,21424586,-172.4525,
2026-07-20 17:22:37,14999946,321368,21424594,-172.4524,
2026-07-20 17:22:38,14999866,321366,21424592,-172.4524,
2026-07-20 17:22:39,15000012,321369,21424566,-172.4526,
2026-07-20 17:22:40,14999972,321368,21424552,-172.4527,
2026-07-20 17:22:41,14999998,321368,21424550,-172.4527,
2026-07-20 17:22:42,15000130,321370,21424496,-172.4530,
2026-07-20 17:22:43,14999984,321368,21424526,-172.4528,
2026-07-20 17:22:44,14999970,321367,21424512,-172.4529,
2026-07-20 17:22:45,14999902,321365,21424464,-172.4532,
2026-07-20 17:22:46,15000040,321368,21424462,-172.4532,
2026-07-20 17:22:47,15000048,321368,21424470,-172.4532,
2026-07-20 17:22:48,14999962,321366,21424444,-172.4533,
2026-07-20 17:22:49,15000782,321386,21424592,-172.4524,
2026-07-20 17:22:50,15000550,321380,21424542,-172.4527,
2026-07-20 17:22:51,15000468,321378,21424550,-172.4527,
2026-07-20 17:22:52,15000380,321376,21424514,-172.4529,
2026-07-20 17:22:53,15000368,321375,21424500,-172.4530,
2026-07-20 17:22:54,15000332,321374,21424468,-172.4532,
2026-07-20 17:22:55,15000334,321375,21424494,-172.4530,
2026-07-20 17:22:56,15000438,321377,21424484,-172.4531,
2026-07-20 17:22:57,15000532,321379,21424482,-172.4531,
2026-07-20 17:22:58,15000650,321381,21424466,-172.4532,
2026-07-20 17:22:59,15000788,321383,21424414,-172.4535,
2026-07-20 17:23:00,15000824,321384,21424428,-172.4534,
2026-07-20 17:23:01,15000748,321382,21424408,-172.4536,
2026-07-20 17:23:02,15000664,321381,21424422,-172.4535,
2026-07-20 17:23:03,15000546,321377,21424344,-172.4539,
2026-07-20 17:23:04,15000492,321375,21424320,-172.4541,
2026-07-20 17:23:05,15000454,321374,21424292,-172.4542,
2026-07-20 17:23:06,15000340,321372,21424294,-172.4542,
2026-07-20 17:23:07,15000266,321370,21424270,-172.4544,
2026-07-20 17:23:08,15000104,321366,21424250,-172.4545,
2026-07-20 17:23:09,14999940,321361,21424170,-172.4550,
2026-07-20 17:23:10,14999944,321362,21424194,-172.4548,
2026-07-20 17:23:11,14999968,321362,21424184,-172.4549,
2026-07-20 17:23:12,15000182,321367,21424198,-172.4548,
2026-07-20 17:23:13,15000072,321364,21424164,-172.4550,
2026-07-20 17:23:14,15000212,321367,21424150,-172.4551,
2026-07-20 17:23:15,15000346,321369,21424140,-172.4552,
2026-07-20 17:23:16,15000484,321372,21424106,-172.4554,
2026-07-20 17:23:17,15000466,321372,21424116,-172.4553,
2026-07-20 17:23:18,15000358,321369,21424096,-172.4554,
2026-07-20 17:23:19,15000288,321367,21424078,-172.4555,
2026-07-20 17:23:20,15000206,321366,21424074,-172.4556,
2026-07-20 17:23:21,15000248,321366,21424024,-172.4559,
2026-07-20 17:23:22,15000290,321366,21424014,-172.4559,
2026-07-20 17:23:23,15000078,321362,21424024,-172.4559,
2026-07-20 17:23:24,14999956,321360,21424058,-172.4557,
2026-07-20 17:23:25,14999994,321360,21424028,-172.4558,
2026-07-20 17:23:26,14999864,321357,21424022,-172.4559,
2026-07-20 17:23:27,14999684,321353,21423978,-172.4561,
2026-07-20 17:23:28,14999708,321353,21423956,-172.4563,
2026-07-20 17:23:29,14999762,321354,21423938,-172.4564,
2026-07-20 17:23:30,14999804,321356,21424014,-172.4559,
2026-07-20 17:23:31,14999908,321358,21423972,-172.4562,
2026-07-20 17:23:32,14999866,321357,21423964,-172.4562,
2026-07-20 17:23:33,14999732,321353,21423936,-172.4564,
2026-07-20 17:23:34,14999660,321351,21423886,-172.4567,
2026-07-20 17:23:35,14999652,321350,21423862,-172.4568,
2026-07-20 17:23:36,14999562,321348,21423794,-172.4572,
2026-07-20 17:23:37,14999346,321342,21423768,-172.4574,
2026-07-20 17:23:38,14999500,321344,21423682,-172.4579,
2026-07-20 17:23:39,14999438,321343,21423662,-172.4580,
2026-07-20 17:23:40,14999522,321345,21423688,-172.4579,
2026-07-20 17:23:41,14999550,321345,21423664,-172.4580,
2026-07-20 17:23:42,14999662,321348,21423672,-172.4580,
2026-07-20 17:23:43,14999654,321348,21423710,-172.4577,
2026-07-20 17:23:44,14999628,321348,21423716,-172.4577,
2026-07-20 17:23:45,14999656,321348,21423704,-172.4578,
2026-07-20 17:23:46,14999668,321348,21423708,-172.4578,
2026-07-20 17:23:47,14999610,321347,21423666,-172.4580,
2026-07-20 17:23:48,14999540,321345,21423652,-172.4581,
2026-07-20 17:23:49,14999620,321347,21423676,-172.4579,
2026-07-20 17:23:50,14999798,321351,21423722,-172.4577,
2026-07-20 17:23:51,14999718,321350,21423722,-172.4577,
2026-07-20 17:23:52,14999742,321351,21423750,-172.4575,
2026-07-20 17:23:53,14999854,321353,21423748,-172.4575,
2026-07-20 17:23:54,14999882,321354,21423736,-172.4576,
2026-07-20 17:23:55,15000022,321357,21423734,-172.4576,
2026-07-20 17:23:56,15000102,321358,21423704,-172.4578,
2026-07-20 17:23:57,15000150,321359,21423704,-172.4578,
2026-07-20 17:23:58,15000114,321358,21423702,-172.4578,
2026-07-20 17:23:59,15000170,321359,21423700,-172.4578,
